woyoubushichanggede	我又不是唱歌的
keyizaifasongyicitade	可以在发送一次他的
weishenmetahaimeinaxialai	为甚么她还没拿下来
dayudaroucaihaochi	大鱼大肉才好吃
nizaijiahuidushuma	你在家会读书吗
gongsidekafeijilimian	公司的咖啡机里面
woneilishiyouyibashuazi	我那里是有一把刷字
gaitiantajiubuqule	改天他就不去了
nidexiaorongkanlehenshufu	你的笑容看了很舒服
neiquanbuqitaidouzai	那全部企台都在
qishiyizhidaokanbuguan	其实一直到看不惯
yinweiwotaidulile	因为我太独立了
daodawangxiaoxuehaishi	到大旺小学还是
wangxiaoyuzongjuedenishiwo	王晓宇总觉得你是我
woxuehuilezhilichushengdefangfa	我学会了治理畜生的方法
tagenwoyiyangyeshi	他跟我一样也是
zuizaoshibadianwushide	最早是八点五十的
nibushishuolianxuliangci	你不是说连续两次
zheigeyuemalaiwancheng	这个月马来完成
niyeshigoupindazheimezaodeche	你也是够拼搭这么早的车
yihouzaixuexiaolizhao	以后在学校里找
womenhaiyousantiancaifangjia	我们还有三天才放假
qishiwoxihuanyoushuidanhaozengbisai	其实我喜欢游水但好憎比赛
tamenkeyiquneibiana	他们可以去那边啊
luozidehanwenzenmexie	罗字的韩文怎么写
jiejiezhongyuyaodaojiale	姐姐终于要到家了
nijiagaihuanshafale	你家该换沙发了
youbushikanseqingxiaoshuo	又不是看色情小说
shitajiejiefajinide	是她姐姐发给你的
zhijiebuyongchiledengdeng	直接不用吃了等等
danshibuquwomenhaikeyizenyang	但是不去我们还可以怎样
youdeyijingjiechuqule	有的已经借出去了
dawobutenggaixiaohao	打我不疼改消耗
wozijihuixiangbanfaba	我自己会想办法把
bukeyizhaobierenpei	不可以找别人陪
wuzhongshengyoubudakeneng	无中生有不大可能
buyaolangfeiqianlahahaha	不要浪费钱啦哈哈哈
woxiwanzaoyeyaosuijuejueni	我洗完澡也要碎觉觉呢
zaoshangjidejiaotaqichuang	早上记得叫她起床
qiancuowancuodoushiwodecuo	千错万错都是我的错
weishahaishigebenzi	为啥还是个本子
quzhuhaihaideyonghenduoqian	去珠海还得用很多钱
shiyueyijixianyoushenmewande	十月一蓟县有什么玩的
shangbanhaiyaoquneili	上班还要去那里
weishenmewoshizuihou	为什么我是最后
yinggaiyoulaoshidaike	应该有老师代课
buguohuihenchihuinixino	不过会很迟回你信噢
wobushisuibiandenu:hai	我不是随便的女孩
yaodaoneigeshihoucaizhidao	要到那个时候才知道
wozheigetaxiemaibaosijichi	我这个他写埋包司机吃
neinixianzaiyaobuyaowola	那你现在要不要我啦
niyijianigezhuangtaijiutong	你宜家呢个状态就同
womeitiandoubuxiangshangban	我每天都不想上班
jinwanniyouzhunbeidaihaiziqu	今晚你有准备带孩子去
woxiageyuenajiaqihuijia	我下个月拿假期回家
dengzheniquyouyiku	等着你去优衣库
zhouweidexiaohuobandou	周围的小伙伴都
baocaihuayeduishengyulianghao	包菜花也对生育良好
yiwaijiulingdangbielunla	意外就另当别论啦
tajiulejiuyaofanmian	他救了就要翻面
tajiulejiuyaofanmian	他救了就要翻面
neimewojiaowomama	那么我叫我妈妈
danshiduiwozuochufanglaishuo	但是对我做厨房来说
nibushizaiwopangbianma	你不是在我旁边吗
dengxialadengwoshangqu	等下啦等我上去
yinweiwodegongzuoshouru	因为我的工作收入
nihuiwuhuibizijizhiyanheqin	你会唔会比自己只眼吓亲
buranjiubuhuilaizheibiandagongle	不然就不会来这边打工了
woyoudehuiyitangyiyuan	我又得回一趟医院
zheimexiaojiuhuizuogongle	这么小就会做工了
ganmanidehenhaoahaoxianghenshengqi	干嘛你的很好啊好像很生气
huoxianhezhongxiandedianyashi	火线和中线的电压是
suoyiwohenxiangjianni	所以我很想见你
zaicheshangliaodaohenkaixin	在车上聊到很开心
woxianzaizhizhidaozheiyige	我现在只知道这一个
nianweiyouhenduokuaileshiguang	年尾有很多快乐时光
wojuedewomeinineimelizhiye	我觉得我没你那么理智耶
bangyidiandianbuhuizenyangdema	帮一点点不会怎样的嘛
woyebushihenjidedeshuo	我也不是很记得的说
baqianxidedoufajinile	把千玺的都发给你了
weishenmexibuchulai	为什么洗不出来
zheiyijuhuawobianyijingkuibuchengjun	这一句话我便已经溃不成军
danshiwomenyeyaohuidezao	但是我们也要回得早
yandaidaiguoqingkuaileyo	颜呆呆国庆快乐哟
wohaizaidengdaianniudedaolai	我还在等待暗牛的到来
ngyixingqizuositianbale	嗯一星期做四天罢了
shibushijiwofale	是不是给我发了
doudaodongjiangneilizaiyiqizuo	都到东绛那里再一起做
yihoushenghaizinihong	以后生孩子你哄
nijiuyizhizaikaolu:zheigema	你就一直再考虑这个嘛
taxiangzhanshitadetuixi	他想展示她的腿细
zheimelengzenmexiezuoye	这么冷怎么写作业
wohaiyiweinigaolengleni	我还以为你高冷了呢
yazhoupingpangqiujinbiaosainu:tuanjuesai	亚洲乒乓球锦标赛女团决赛
gangxiachejiuyigezi	刚下车就一个字
nishiwodequanshijie	你是我的全世界
jingguonangongyuandegongjiaocheyoujilu	经过南公园的公交车有几路
yixiazidiaodaodigu	一下子掉到低谷
zizhuyuandaohuangjiamatounagemenjin	紫竹院到皇家码头哪个门近
nibushixianzaicaiqu	你不是现在才去
xiaogongjuyaochuquwanle	小公举要出去玩了
fujinjumindejihaimeiyoudaming	附近居民的鸡还没有打鸣
biexuewofazheigebiaoqing	别学我发这个表情
hengyangjixiaomeizuoye	衡阳技校没作业
niannianshengriwudangao	年年生日无蛋糕
mingxianbushiyigeren	明显不是一个人
niyeshiheduoyidianshuia	你也是喝多一点水啊
wohaoxiangbianchenglenidefensi	我好像变成了你的粉丝
huiqulehaohaoliaoliao	回去了好好聊聊
tayouanpailehuodong	她又安排了活动
jinwanwoyigerenshui	今晚我一个人睡
meirongwokanchengmeixia	美容我看成美霞
zheigenu:shengzanqiezong	这个女生暂且总
zheiyouxizenmekachengzheiyangle	这游戏怎么卡成这样了
yikanyiqianjiuyongsanxing	一看以前就用三星
weishenmejiuzhaobudaoa	为什么就找不到啊
nihainengbunengdaigoua	你还能不能代购啊
xiangxiangmingtianwohaiyaozuobanlang	想想明天我还要做伴郎
zhengdewoxianglaomaozi	整的我像老毛子
memezhangjuanhezuile	么么张娟喝醉了
woxiangyaogexiaohuba	我像要个小胡吧
qidaiwodeshanliangdengchangba	期待我的闪亮登场吧
kanwofanidedongximei	看我发你的东西没
neiwowukeyishuiganduola	那我唔可以瞓咁多啦
youmeiyoukandaojietulimian	有没有看到截图里面
zuotianjitabozishang	昨天给他脖子上
ganshenmedouxuyaoxuexidea	干什么都需要学习的啊
tashiyaomaixinjiapo	他是要买新加坡
babenliangzhongbutongdelongliudafa	八本两种不同的龙流打法
wozhizhidaochengdouwaichanghaowan	我只知道成都外场好玩
kewukeyiyingbiwo	可唔可以影比我
lishiyuntundiankeyiwubaoyuntun	嚟食云吞点可以唔包云吞
qiershidelansecaoben	契尔氏的蓝色草本
yitiaocuoluzhijiedaidao	一条错路直接带到
wojiuxihuankandajiasibi	我就喜欢看大家撕逼
wojiuxihuankandajiasibi	我就喜欢看大家撕逼
wochulaimaizuibianyideyijianwaitao	我出来买最便宜的一件外套
xiezhezuoyigeyouqinghuaideren	写着做一个有情怀的人
wosichuanhuajiangdebishandonghuahao	我四川话讲的比山东话好
woningkenmeitianzhanyichang	我宁肯每天战一场
meiguanxidebuyaosixian	没关系的不要死先
nixiwangzenyangdexiaoguo	你希望怎样的效果
neiwohuibuhuiyebeilan	那我会不会也被拦
tabuyaonijiugenwogunguolai	他不要你就跟我滚过来
kaoshiwanlewojiujietuoge	考试完了我就解脱咯
niyoubuyunxuwowen	你又不允许我问
wodeweilaibushimeng	我的未来不是梦
xiagexingqizaikankanbalaopo	下个星期再看看吧老婆
zheigenu:haihenrenxing	这个女孩很任性
woshiyeaiqingwending	我事业爱情稳定
xihuanwoderendapaizhanglong	喜欢我的人大排长龙
woxiangkankannibabadeneitai	我想看看你爸爸的那台
nishitadehaopengyoule	你是他的好朋友叻
douhuaxiaowenjudihuichidao	都话小雯佢地会迟到
tashitaiguofendesha	他是太过分的傻
woyaomaideshidierge	我要买的是第二个
zhadanyanshizenmehuishi	眨单眼是怎么回事
yigexingqiqicipingjun	一个星期其次平均
kenengbirendangfeizhihuishouzuo	可能比人当废纸回收左
yikoubujiudengyumeiyouchige	一口不就等于没有吃咯
aiyoyouxiangduyoubuxiangdue	哎哟又想读又不想读哦
pingbiwolehaishishanlewo	屏蔽我了还是删了我
womenyijingquguohuilaile	我们已经去过回来了
haishiyouqianshuibushuohuadechuxian	还是有潜水不说话的出现
genzhelaodaxuezuofan	跟着老大学做饭
shixiangfashefadezhengqian	是想法设法的挣钱
nimeiyouquzuotoufale	你没有去做头发了
gaoduwoyebuhuikan	高度我也不会看
tajiujiangzuomewokandaohenxiang	她就讲做么我看到很像
wozhendeyizhikandaonikanwo	我真的一直看到你看我
womingtianxiangqufotan	我明天想去佛坛
tawangjinahuidianhua	她忘记拿回电话
bangpengyounongneigejiaochededengge	帮朋友弄那个脚车的灯咯
wodaozheieryixiaohuierle	我到这儿一小会儿了
jialifancaizuihaochile	家里饭菜最好吃了
yinweidoumeirenliwo	因为都没人理我
nibuhuihuaidaonaliqudela	你不会坏到哪里去的啦
womeiyouhoulongtongzhishi	我没有喉咙痛知识
rangwomendazhonggandaobu	让我们大众感到不
nizuomebuhuidawodewenti	你做么不回答我的问题
wojitaxiejiniancebale	我给他写纪念册罢了
henjiumeikanguonidebaobeile	很久没看过你的宝贝了
fanzhengwomendoumeiyoushenmeqian	反正我们都没有什么钱
woxiwuqidouzhixi	我系屋企都只系
qiuqijiangjiuxiaxianla	求其将就下先啦
nijintianlaizaoshangde	你今天来早上的
shenmejiaokuailedibianpang	甚么叫快乐地变胖
shangkebuyaoandianhua	上课不要按电话
buyaodehuawoquhuan	不要的话我去换
fanzhengwohaishibuhuitaoxuede	反正我还是不会逃学的
naiqushuijuewojiujiyigedongxinai	妳去睡觉我就给一个东西妳
yourenjiadeshuiguojiugouleya	有人家的水果就够了呀
genzhuzhongkuangniuluoyou	跟住仲狂扭啰油
baobeibuyaoqiqiwoba	宝贝不要气气我吧
tebiebandezishengjinghua	特别版的自生精华
xianzaishenshangdouyoumayi	现在身上都有蚂蚁
wodeqiangxiangjiushihuanxiang	我的强项就是幻想
zheiyeshiqianglepaoma	这也是抢了跑吗
weixinchuwentilema	微信出问题了嘛
aiyazenmehuizheiyangni	哎呀怎么会这样呢
youjuhuajiaoshikezhunbeizheme	有句话叫时刻准备着么
zhishaowohaikeyigaizhe	至少我还可以盖着
womeijiarenyemeizhuyirende	我没加人也没注意人的
laogongzheilihenhaowan	老公这里很好玩
kanlaizhiyouzheizhongbijiaoshihe	看来只有这种比较适合
wenjingzaizheiliredeyaotuoyishangjie	文静在这里热得要脱衣上街
nishuoyoumeiyoudaoli	你说有没有道理
zhendeyaodanipigu	真的要打你屁股
zhongguodefeijiquanbuyanwu	中国的飞机全部延误
kafeibuzhidaoyourongyu	咖啡不知道有荣誉
takeyixuanzeyitaoyao	她可以选择一套要
renshaoshaorenzuojula	人少少认咗佢啦
danxiwoditongjudimaoguanxi	但系我地同佢地冇关系
nichuzuoquzhongyoumao	你出咗去仲有冇
niyoukanguoxiangwojiangshuaidesha	你有看过像我酱帅的傻
buxuyaosuandaozheiyangba	不需要算到这样吧
nianzhuwennidiquchi	捻住搵你地去吃
shanggexingqimeiyouxie	上个星期没有写
ranhouzuomehuibeifade	然后做么会被罚的
haodedongxibuyaojiwairenyong	好的东西不要给外人用
quanshijiedouyouhenduohaochide	全世界都有很多好吃的
buguoxianzaihenshaole	不过现在很少了
tamenyourengaosuwoshi	她们有人告诉我是
kenengaqingyouxiaqu	可能阿庆有下去
woyenengtingjianshengyin	我也能听见声音
woyoulaoweidezaopianyo	我有劳委的皂片哟
ruguojiedianhuaduoshikeyide	如果接电话多是可以的
houlaineigenandejiuliule	后来那个男的就溜了
motuocheshoujizhijia	摩托车手机支架
zenmeyoudianxiangtongjifan	怎么有点像通缉犯
jiangdouhaibusuanguofen	酱都还不算过分
haoxihuanqinshimingyue	好喜欢秦时明月
weishenmetaheiyandaineimeshen	为什么她黑眼袋那么深
shishuoniganghaomeiqudao	是说你刚好没去到
yinweitamenhaofana	因为他们好烦阿
xiagexingqihaibuzhidaoyaoceshenme	下个星期还不知道要测什么
nishipabeikadaoba	你是怕被卡到吧
nakuaiquchongliangxianna	呐快去冲凉先呐
nakuaiquchongliangxianna	呐快去冲凉先呐
nakuaiquchongliangxianna	呐快去冲凉先呐
woquchikaigexinaidepangxielee	我去吃凯哥心爱的螃蟹了哦
qishizuidawentiximaodebuziji	其实最大问题系冇得补自己
jumingzhendehaoqiguai	剧名真的好奇怪
shangkedeshihouhaihao	上课的时候还好
keshiwodezhuhenzha	可是我的猪很渣
yiwanjiuyizhizhualaizhuaquge	一晚就一直抓来抓去咯
wokandongmanzhiweileshuaigede	我看动漫只为了帅哥的
neimewanshuihaiganxiao	那么晚睡还敢笑
jiaoliuyanyouwenganma	叫留言又问干嘛
jiangwobuyaojitale	酱我不要给他了
buranniyaozenyanglaipeiwo	不然你要怎样来陪我
yinweinimagenwomajiangnifangjiashi	因为你妈跟我妈讲你放假是
jialitaiduoshoulianle	家里太多手链了
nizheikebolixintairongyisuile	你这颗玻璃心太容易碎了
jutongwojiangjuyoumiebiwushangling	佢同我讲佢有乜比唔上零
dengnilailewogujiniyouyao	等你来了我估计你又要
woyebuzhidaozaixiaoshenme	我也不知道在笑什么
woyebuxiangnitonga	我也不想你痛啊
woshigenxuejiequdachede	我是跟学姐去搭车的
youdeshitakaohaoranhounachulai	有的是他烤好然后拿出来
weiheniyaojiekudai	为何你要解裤带
nimendianlideshuakajineng	你们店里的刷卡机能
niyaofanimanmanfaba	你要发你慢慢发吧
haiyiweikeyidingdaofangjia	还以为可以顶到放假
wohaixiangzhenggeyuebuqu	我还想整个月不去
zheishiyigelengxiaohua	这是一个冷笑话
haiyoubanjiashenmeaihao	还有半价什么爱好
nizenyangzhidaotenghebuteng	你怎样知道疼和不疼
yangpinguolaikankaneryi	样品过来看看而已
xiaciyidingyabianni	下次一定压扁你
xiuxitianjiubuyaoshuineimeduo	休息天就不要睡那么多
nichuchedengwodila	你出车等我地啦
sanhaowomenqushenyang	三号我们去沈阳
rangnishuanghaishihuairena	让你爽还是坏人啊
baozhujiongjiongdedatuijiubuhuisi	抱住囧囧的大腿就不会死
nishibushibuxiangwowanshangguolai	你是不是不想我晚上过来
woshuoleshangwankejiumeishile	我说了上完课就没事了
feipoashunbabafangjitian	肥婆啊顺爸爸放几天
zheijiaqianjianzhiyeliang	这价钱简直业良
ganjuemingxiandalea	感觉明显大了啊
wojuedezheizhongyebucuoa	我觉得这种也不错啊
yihoudeshiyihouzaijiangla	以后的事以后再讲啦
jintianjishiganzhehuiguangdongle	今天急事赶着回广东了
wuhuaroujiushizheiyangdela	五花肉就是这样的啦
nizhaolewojiujiqiangzou	你找了我就给抢走
woyebudongzenmeshuoshixie	我也不懂怎么说是写
suanwobianyiyidianha	算我便宜一点哈
gangcaikandaoyijuhua	刚才看到一句话
suoyiwoyizhiwenni	所以我一直问你
neilaogongzaodianhuiquge	那老公早点回去咯
wogujihaizhenhuima	我估计还真会吗
yeshihujiangwangxiaopeitaode	也是沪江网校配套的
haoduorendouyiweishiwohaizi	好多人都以为是我孩子
nibuzaiwodesushea	你不在我的宿舍啊
qishiwoyebuzhidaonijiban	其实我也不知道你几班
youbuhuiqugennu:shenqiangfanwande	又不会去跟女神抢饭碗的
jinixinshangwodelianjifenzhongge	给你欣赏我的脸几分钟咯
nimeicidouzheiyangjiangde	你每次都这样讲的
zhiyaojiaoyuqingdouxihuan	只要叫育庆都喜欢
yeweiwomendeweilaidaogaoba	也为我们的未来祷告吧
jidewodeliwua	记得我的礼物啊
woyiweinihaobeidaole	我以为你号被盗了
nijinrishengriwoyouyou	你今日生日我又有
jiudengduoyitianhaoma	就等多一天好吗
hahahahahahasheijiaoniben	哈哈哈哈哈哈谁叫你笨
yuanbenworenshizuigaodeshi	原本我认识最高的是
wuhaozaijiangdahuala	唔好再讲大话啦
nandaoyiqianfeihuagengduo	难道以前废话更多
zijiyigerendua	自己一个人读啊
genwojiarenyiqiwan	跟我家人一起玩
ruguoshizijiyudaowojiuhui	如果是自己遇到我就会
jintianlaogongbuzaijiabeiqiangxing	今天老公不在家被强行
jiushibuaitingwohua	就是不爱听我话
wodouhaimeihuidaola	我都还没回到啦
xingqiwukenengfangtayima	星期五可能放他一马
beihaidemeirongxuexiao	北海的美容学校
ditiezhanyeshibucuokaojinwojialei	地铁站也是不错靠近我家嘞
jintianyeyaojiangzaoshuia	今天也要将早睡啊
danshihenkuaihuihebing	但是很快会合并
jiaozijiusanxiandeba	饺子就三鲜的吧
tamamakanzhetapaizhao	他妈妈看着她拍照
wohaiyudingleyige	我还预定了一个
guojimaoyihezhengce	国际贸易和政策
mingtianhaishihenlanduoqu	明天还是很懒惰去
nijiangdaoneimekuazhang	你讲到那么夸张
dengyuyigeyueniyao	等于一个月你要
tamenhaizhendeshiqugenni	他们还真的是去跟你
renjiabiwomeihenduo	人家比我美很多
weishenmewujianyaojiaoguoqu	为什么无剑要叫过去
woyaozhidaoyuanyinxian	我要知道原因先
nishitanu:pengyouma	你是他女朋友吗
wodouhaimeikaishidu	我都还没开始读
tamenbudebuzaoyiliangche	他们不得不造一辆车
yougexiaohaishizaiyaotouba	有个小孩是在摇头吧
yechameiyouduoshaobale	也差没有多少罢了
wohaimeijianguonini	我还没见过你呢
zuozheiyundongburongyipaidaolian	做这运动不容易拍到脸
huizuocaidehaochujiushi	会做菜的好处就是
fuzhuangdoushiyugoudema	服装都是预购的吗
kaolu:kankanhahaha	考虑看看哈哈哈
hanguodedazhaohufangshi	韩国的打招呼方式
nidoubuwenlaogongya	你都不问老公牙
neinu:dejiuwohenshen	那女的酒窝很深
buxiwanweixinwoa	补习完微信我啊
bushijianadadepaizime	不是加拿大的牌子么
zoudeshihouyongbaole	走的时候拥抱了
guanggaowanlecaihuixin	广告完了才回信
ruguoninengzhaodaoge	如果你能找到个
woyoubushibuyaoni	我又不是不要你
neimeganzenbuzijikai	那么赶怎不自己开
mingtianpeiwoquxianggangma	明天陪我去香港吗
nikoujiaoyoumeiyoufang	你口交有没有放
aiwohenxianghenxiangni	唉我很想很想你
kenengmeiyouneimeyanzhong	可能没有那么严重
quanshijiezuishadechunan	全世界最傻的处男
woyouwokeaidenu:piao	我有我可爱的女票
buzhidaoyaoqunali	不知道要去哪里
ezhangleiyekenengde	哦张磊也可能得
dagaidagaidouzhidaoba	大概大概都知道吧
chumenzhaosanzhaolebantian	出门找伞找了半天
nizhidaowozheishibianyi	你知道我这是贬义
budasuanyuyinanweiwoxiama	不打算语音安慰我下吗
dagaiyoushiduogeren	大概有十多个人
jianpanhenmeikeshizihennankan	间盘很美可是字很难看
nijiaowowohainengbuchuqu	你叫我我还能不出去
xiangquyizhongburangjin	想去一中不让进
nimingtianshidianzheiyangdeshihou	你明天十点这样的时候
neiyaobuyaohuachulai	那要不要画出来
huaiyundeshihoumeiyouchachu	怀孕的时候没有查出
wodetoufadeweidao	我的头发的味道
ranhoujiufaxianlezheiqipadehuamian	然后就发现了这奇葩的画面
xianzainianqingrenlinghuodehen	现在年轻人灵活的很
jinwanzenmezheimeleng	今晚怎么这么冷
haishiyoueryuanshuiping	还是幼儿园水平
wodedianhuayaomeiyou	我的电话要没有
nizashoulehaoduolie	你咋瘦了好多咧
budongsheijiangyaojiaowodela	不懂谁讲要教我的啦
kenengyinweifazhanmian	可能因为发展面
wogentazuoyiliangchehaogangabei	我跟他做一辆车好尴尬呗
womenjiachifanyizhihenwandeshuo	我们家吃饭一直很晚的说
zuixiangjiandekendingshiwo	最想见的肯定是我
kanbudaoyeshiyaokan	看不到也是要看
wokanjiannidoudoula	我看见你豆豆啦
shiyilianhuobaodekanzhewobiaoge	是一脸火爆的看着我表哥
shuimianshijiantaiduanzuishaoyao	睡眠时间太短最少要
zhongyaodeshishuosanbian	重要的事说三遍
meishiguozheiyangfuqianwozhaoge	没试过这样付钱我找个
yourenhaoxianghaimeihuidawowentie	有人好像还没回答我问题哦
nizaimaiyicizailai	你再买一次在来
niqueshirangwojiaoni	你确实让我教你
yaobuyaoyiqikanzheibu	要不要一起看这部
huashuodashixiongyaobuyaokandianying	话说大师兄要不要看电影
jintianzaoshangdazhuangbeifubendiao	今天早上打装备副本掉
nimenmingtianyaoganma	你们明天要干嘛
woshenjiazhiyoujishikuai	我身价只有几十块
douhuabunengshuodemimi	都话不能说的秘密
niyoudianzhishibugouduo	你有点只是不够多
rendidouxiguanxinnijie	人地都系关心你姐
niyouzheigeguoneide	你有这个国内的
xiagexingqiernishenmeban	下个星期二伱什么班
yinweidandanjiwoledongli	因为蛋蛋给我了动力
niyoumeiyoukanwode	你有没有看我的
xuezhangjuedeneilihaowan	学长觉得那里好玩
ganjuehaoxiangbugaiduinijiang	感觉好像不该对你讲
touxianwolouxiayoutiao	头先我楼下有条
bushiyinweinishuaie	不是因为你帅哦
yingxiongpifuyoushenmezuoyong	英雄皮肤有什么作用
shixihaishizhengshide	实习还是正式的
ergujieshiyueqinqian	二姑姐十月琴钱
wodouzhaodaokehule	我都找到客户了
huoxushiyinweitaizao	或许是因为太早
zheizhongduiwudoukeyi	这种队伍都可以
womaishubaoyijingshidao	我买书包已经是到
wuhaobiwojiandaoni	唔好比我见到你
neilizenmezhangdongxi	那里怎么长东西
jintianlaigetaiwantongshijiranshi	今天来个台湾同事既然是
diergeyuehaoxiangyaozheng	第二个月好像要整
maozhuxihejiangweiyuanzhanga	毛主席和蒋委员长啊
xihuanchibishengkedebafei	喜欢吃必胜客的巴菲
wangjiweishenmewoshuowandanle	忘记为什么我说完蛋了
ebeishangjiuzaizheili	呃悲伤就在这里
nibizihuibuhuidaa	你鼻子会不会大啊
wogangqilainijiufahongbao	我刚起来你就发红包
yinweidangshixiaowaishenglianxia	因为当时小外甥脸下
wuzhuzhunbeichuangjinilema	屋主准备床给你了吗
suoyidagaijidianhuidao	所以大概几点会到
buguoyoudianxiangnianyigerenbale	不过有点想念一个人罢了
woxiaxingqiyishangjilongpo	我下星期一上吉隆坡
linfandemingmingaini	林凡的明明爱你
lianggerenzhijianmeiyougeyechouba	两个人之间没有隔夜仇吧
womingtianyaochuquyitian	我明天要出去一天
nilaizhaowowojiujinizaiwofangjian	你来找我我就给你在我房间
qunadongxijilaoban	去拿东西给老板
nizenmedoumeijiwoanzan	你怎么都没给我按赞
ganggangneijianshidehuawoxinni	刚刚那件事的话我信你
keshirenhaizaijialishui	可是人还在家里睡
ahahaneiwoyinggaishanma	啊哈哈那我应该删吗
longmajinjihaibaobule	龙马进击还爆不了
haiyougongrenxiaowuyeshiyichulai	还有工人小屋也是移出来
niyaoshengyuhaishisiyu	你要生鱼还是死鱼
jidemaipinganbaoxian	记得买平安保险
biebazijiwandiule	别把自己玩丢了
chadianzikeyunzhandaodayi	茶店子客运站到大邑
nidetoufabuzhiqian	你的头发不值钱
nidetoufabuzhiqian	你的头发不值钱
woyoushihouhuisuandeshuibuzhe	我有时候会酸的睡不着
qishixinizijihuazijicha	其实系你自己话自己差
hekuangshiwomenzheizhongzhinengmai	何况是我们这种只能买
xiangbaomiyixiadoubuxing	想保密一下都不行
xiayutianbushiwenxitian	下雨天不是温习天
woganggangzaizhuyidalimianchi	我刚刚在煮意大利面吃
zuijinyanghuangzigongfangjialebushao	最近养皇子攻防加了不少
xiexienu:shenxiexieniangniang	谢谢女神谢谢娘娘
yizhichiyaohuifuzuoyongme	一直吃药会副作用么
xuexiaobujilaoshifangjia	学校不给老师放假
neinidangnu:deexiabeizi	那你当女的哦下辈子
yibeiziwodoujuedebugou	一辈子我都觉得不够
jiangwobuyongbisaile	将我不用比赛了
gangcaihaoxiangquneibian	刚才好想去那边
wogudanjimojuedeleng	我孤单寂寞觉得冷
wocaipayourengenwoqiangni	我才怕有人跟我抢你
huidaoxinjiapochabuduo	回到新加坡差不多
neimejintianhenzaoge	那么今天很早咯
changgechangdaohoulongdouyale	唱歌唱到喉咙都哑了
neinijiukushoukongfangle	那你就苦受空房了
woganggangzaimeituanhuale	我刚刚在美团花了
taguoqingdoubuhuilai	她国庆都不回来
fanzhengwodekuzijiupabugouzhang	反正我的裤子就怕不够长
tashibushizaishuawo	他是不是在耍我
zhiliangchaojibangyuanjia	质量超级棒原价
damajiangshulewanfanbuchile	打麻将输了晚饭不吃了
damajiangshulewanfanbuchile	打麻将输了晚饭不吃了
mingtianyizaoquzhongqing	明天一早去重庆
azaikufanganjianqu	啊在库房暗箭去
zhangxuniyemeiganshaa	张旭你也没干啥啊
zuijinyoushijianwoxiangqu	最近有时间我想去
wozaiwuhandengzhetahuilai	我在武汉等着她回来
shenmedouyaogenzhecourenao	什么都要跟着凑热闹
shanxijiashirenweizhangchaxun	山西驾驶人违章查询
suningrenxingfuzenmetie	苏宁任性付怎么提额
shimeimeibuzhidaoeryi	是妹妹不知道而已
meilaoshibushishuojiuxihuan	梅老师不是说就喜欢
nimendouzhunbeidaorongxianle	你们都准备到容县了
neiwolaiwennihaole	那我来问你好了
yikaishiwojuedehenxiangmaoshidandan	一开始我觉得很想猫屎蛋蛋
wozaiwaimianoujieyeshuowo	我在外面欧姐也说我
youjihuibixuquwanwan	有机会必须去玩玩
ganjuehaishizhaojunleihaokan	感觉还是赵俊磊好看
yaoshipiankekeyiqinglidiaoneixie	要是片刻可以清理掉那些
laoyimuguoqingkuaile	老一母国庆快乐
jiulingchemaibushangpiao	九零车买不上票
nimaideshenmeyangzidemianfen	你买的什么样子的面粉
maimaimaimaiyibaizhang	买买买买一百张
gongsiderendalaigenwoyao	公司的人打来跟我要
wohuiquhaiyaoyongni	我回去还要用呢
haoxiangjiuyideshaoweiduodian	好像九一的稍微多点
yuanjiasibaiduozhehou	原价四百多折后
ranerwobuhuizuofan	然而我不会做饭
woshigegaolengderen	我是个高冷的人
wodeneixinshibenkuide	我的内心是奔溃的
dayimaqijianhuihuaiyunma	大姨妈期间会怀孕吗
dayimaqijianhuihuaiyunma	大姨妈期间会怀孕吗
yourangwoxiangqishangcizuo	又让我想起上次做
nimensheiquzhaolaoyanle	你们谁去找老严了
nishangchuanwodezhaopianle	你上传我的照片了
lingkouzaidiyidianma	领口再低一点嘛
anpengyouchaxunhuafei	俺朋友查询话费
danshinikeyishuoyixia	但是你可以说一下
zhongyufeiqianxinlaiwuqile	终于非潜心来武器了
zaodianxiuxiwoxiangshuile	早点休息我想睡了
zaodianxiuxiwoxiangshuile	早点休息我想睡了
meiyoumeiyouninjixu	没有没有您继续
nierzibuyaochuquchifan	你儿子不要出去吃饭
gegedoubushirexin	哥哥都不是热心
wohaozimingtianzhinengwan	我号子明天只能玩
wuyumejiubuyaojianghuale	无语么就不要讲话了
zhendeshigennidaokushuidaoshangyinle	真的是跟你倒苦水倒上瘾了
buzhidaonixihuanhuawei	不知道你喜欢华为
taibaobaorupenyaoduojiu	胎宝宝入盆要多久
nisongxiangwuxiangtongwoyiqi	你颂想唔想同我一齐
nongbuchengyaogenwojiang	弄不成要跟我讲
saichesaileyiluhepinghongniu	塞车塞了一路喝瓶红牛
woyiweiniyaotiaojiangniyuping	我以为你要跳江呢鱼瓶
shiyinweiwobuxiangnongshangnibalege	是因为我不想弄伤你罢了咯
suoyiwocaishuoyaozhaoyige	所以喔才说要找一个
huanpihuanrounanhuangu	换皮换肉难换骨
nishishuonihaishishuowo	你是说你还是说我
wozhenximiedouwuxi	我真系咩都唔系
buguohaishijiaqianbijiaozhongyao	不过还是价钱比较重要
nahuolidafubene	拿活力打副本哦
